RBC,PO2,HBsat
O2transport_init, 4.9e15, 1.1467116e-03, 7.6364383e-01
co2transport_init, 0.05004034, 0.02960993, 0.78838485, 0.09752594, 0.04786631

type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],res_start[SI],res_end[SI],visc_fact[1],k1[SI],k2[SI],k3[SI]
vis_f,232,R.trans.sinus,n57,n55,0.00436,0.00356,0.000436,0.000356,0.035,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,233,L.trans.sinus,n58,n56,0.00874,0.00618,0.000874,0.000618,0.035,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,234,R.facialv.,p26,n99,0.00226,0.00264,0.000226,0.000264,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,235,L.facialv.,p43,n100,0.00226,0.00264,0.000226,0.000264,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,236,Sup.sagittalsinus,n66,n64,0.00574,0.006,0.000574,0.0006,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,239,Cerebralvein,p38,n60,0.003,0.003,0.0003,0.0003,0.06,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,240,Intra-cavernoussinus,n92,n91,0.00252,0.00252,0.000252,0.000252,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,241,Inf.sagittalsinus,n63,n61,0.0032,0.0032,0.00032,0.00032,0.0367,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,242,R.int.jugularv.,n41,n3,0.00798,0.00798,0.000798,0.000798,0.01,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,243,L.int.jugularv.,n42,n4,0.01236,0.01236,0.001236,0.001236,0.01,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,244,Azygosv.,n39,n40,0.0085,0.0085,0.00085,0.00085,0.28,18,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,248,Inf.sagittalsinus,n65,n63,0.0032,0.0032,0.00032,0.00032,0.0367,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,249,Cerebralvein,p31,n65,0.003,0.003,0.0003,0.0003,0.04,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,250,Intercostalv.,p47,n39,0.008,0.008,0.0008,0.0008,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,251,R.post.tibialv.,p10,n37,0.003,0.003,0.0003,0.0003,0.173,12,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,252,R.ant.tibialv.,n29,n35,0.003,0.003,0.0003,0.0003,0.16,12,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
