data of edges
type,name,node start,node end,initial condition,parameter [SI],parameter [SI]

Common carotid dextra
diode,R_lv_aorta,p_LV1,H,0.00E+00,1.00E+06

data of nodes
type,name,initial condition [SI]
node,p_RA1,1.00E+05
node,p_RA2,1.00E+05
node,p_RA3,1.00E+05
node,p_RV1,1.00E+05
node,p_RV2,1.00E+05
node,p_LA1,1.00E+05
node,p_LA2,1.00E+05
ground,g,1.00E+05
ground,g1,1.00E+05
ground,g2,1.00E+05
ground,g3,1.00E+05
ground,g250,1.00E+05
ground,g260,1.00E+05
ground,g270,1.00E+05
ground,g280,1.00E+05
ground,g290,1.00E+05
ground,g300,1.00E+05
ground,g310,1.00E+05
ground,g320,1.00E+05
ground,g330,1.00E+05
ground,g340,1.00E+05
ground,g350,1.00E+05
ground,g360,1.00E+05
ground,g370,1.00E+05
ground,g380,1.00E+05
ground,g390,1.00E+05
ground,g400,1.00E+05
ground,g410,1.00E+05
ground,g420,1.00E+05
ground,g430,1.00E+05
ground,g440,1.00E+05
ground,g450,1.00E+05
ground,g460,1.00E+05
ground,g4,1.00E+05
ground,g7,1.00E+05
ground,g10,1.00E+05
ground,g0,1.01E+05
ground,gvfr,1.01E+05
node,n6,1.00E+05
node,n7,1.00E+05
node,n32,1.00E+05
node,n3,1.00E+05
node,n26,1.00E+05
node,n31,1.00E+05
node,n50,1.00E+05
node,n49,1.00E+05
node,n47,1.00E+05
node,n48,1.00E+05
node,n45,1.00E+05
node,n38,1.00E+05
node,n43,1.00E+05
node,n40,1.00E+05
node,n36,1.00E+05
node,n30,1.00E+05
node,n42,1.00E+05
node,n41,1.00E+05
node,n46,1.00E+05
node,n37,1.00E+05
node,n33,1.00E+05
node,n27,1.00E+05
node,n34,1.00E+05
node,n28,1.00E+05
node,n35,1.00E+05
node,n29,1.00E+05
node,n44,1.00E+05
node,n39,1.00E+05
node,n10,1.00E+05
node,H,1.00E+05
node,n1,1.00E+05
node,n2,1.00E+05
node,n4,1.00E+05
node,p35,1.00E+05
node,p34,1.00E+05
node,p36,1.00E+05
node,p33,1.00E+05
node,p39,1.00E+05
node,p40,1.00E+05
node,p30,1.00E+05
node,p29,1.00E+05
node,p38,1.00E+05
node,p31,1.00E+05
node,p37,1.00E+05
node,p32,1.00E+05
node,p44,1.00E+05
node,p25,1.00E+05
node,p43,1.00E+05
node,p26,1.00E+05
node,p41,1.00E+05
node,p42,1.00E+05
node,p28,1.00E+05
node,p27,1.00E+05
node,p45,1.00E+05
node,p46,1.00E+05
node,p2500250,1.00E+05
node,p2600260,1.00E+05
node,p2700270,1.00E+05
node,p2800280,1.00E+05
node,p2900290,1.00E+05
node,p3000300,1.00E+05
node,p3100310,1.00E+05
node,p3200320,1.00E+05
node,p3300330,1.00E+05
node,p3400340,1.00E+05
node,p3500350,1.00E+05
node,p3600360,1.00E+05
node,p3700370,1.00E+05
node,p3800380,1.00E+05
node,p3900390,1.00E+05
node,p4000400,1.00E+05
node,p4100410,1.00E+05
node,p4200420,1.00E+05
node,p4300430,1.00E+05
node,p4400440,1.00E+05
node,p4500450,1.00E+05
node,p4600460,1.00E+05
node,n4004,1.00E+05
node,n7007,1.00E+05
node,n100010,1.00E+05
node,p_LA3,1.01E+05
node,p_LV1,1.01E+05
